energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,playlist_name,analysis_url,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id,index,playlist_genre_afrobeats,playlist_genre_ambient,playlist_genre_arabic,playlist_genre_blues,playlist_genre_brazilian,playlist_genre_cantopop,playlist_genre_classical,playlist_genre_country,playlist_genre_disco,playlist_genre_electronic,playlist_genre_folk,playlist_genre_funk,playlist_genre_gaming,playlist_genre_gospel,playlist_genre_hip-hop,playlist_genre_indian,playlist_genre_indie,playlist_genre_j-pop,playlist_genre_jazz,playlist_genre_k-pop,playlist_genre_korean,playlist_genre_latin,playlist_genre_lofi,playlist_genre_mandopop,playlist_genre_metal,playlist_genre_pop,playlist_genre_punk,playlist_genre_r&b,playlist_genre_reggae,playlist_genre_rock,playlist_genre_soca,playlist_genre_soul,playlist_genre_turkish,playlist_genre_wellness,playlist_genre_world
0.592,157.969,0.521,pop,-7.777,0.122,0.535,3.0,0.0304,100,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,2024-08-16,0.0,10FLjwfpbxLmW8c25Xyc2N,0.0,6.0,251668.0,0.308,2plbrEY59IikOBgBGLjaoe,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.507,104.978,0.747,pop,-10.171,0.117,0.438,4.0,0.0358,97,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,2024-05-17,0.0608,7aJuG4TFXa2hmE4z1yxc3n,1.0,2.0,210373.0,0.2,6dOtVTDdiauQNBQEDOtlAB,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.808,108.548,0.554,pop,-4.169,0.159,0.372,4.0,0.0368,93,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,2024-10-18,0.0,0hBRqPYPXhr1RkTDG3n4Mk,1.0,1.0,166300.0,0.214,7ne4VBA60CxGM75vw0EYad,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,112.966,0.67,pop,-4.07,0.304,0.786,4.0,0.0634,81,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ,2024-08-23,0.0,4B4Elma4nNDUyl6D5PvQkj,0.0,0.0,157280.0,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.783,149.027,0.777,pop,-4.477,0.355,0.939,4.0,0.26,98,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,2024-10-18,0.0,2IYQwwgxgOIn7t3iF6ufFD,0.0,0.0,169917.0,0.0283,5vNRhkKd0yEAg8suGBpjeY,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,4.0,0.0356,94,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,2024-04-05,0.0,1WAjjRMfZjEXtB0lQrAw6Q,0.0,11.0,218424.0,0.0502,0WbMK4wrZ1wFSty9F7FCgu,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,4.0,0.0411,88,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,2024-08-09,0.00962,0XA403JTounqFh2owquBXu,1.0,10.0,169698.0,0.495,6MzofobZt2dm0Kf1hTThFz,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.247,148.101,0.467,pop,-12.002,0.17,0.126,4.0,0.0431,93,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,2024-05-17,0.000271,7aJuG4TFXa2hmE4z1yxc3n,0.0,6.0,261467.0,0.612,3QaPy1KgI7nu9FJEQUgn6h,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.416,94.926,0.492,pop,-10.439,0.203,0.297,4.0,0.0254,71,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB,2024-07-26,8.61e-05,4DWrYvfGXRE8ko5ZxlIpit,1.0,11.0,211979.0,0.686,0UYnhUfnUj5adChuAXvLUB,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.722,119.973,0.769,pop,-5.485,0.111,0.57,4.0,0.0507,92,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,2024-09-27,2.56e-06,2IRxVVqbSbqHJo8Zx50LYn,0.0,11.0,256000.0,0.0584,1Es7AUAhQvapIcoh3qMKDL,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,4.0,0.0983,85,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,2024-08-01,0.3,3ThlxfLSy4bfKzxWqmC7VN,1.0,7.0,145219.0,0.0146,3WOhcATHxK2SLNeP5W3v1v,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.586,107.071,0.669,pop,-6.073,0.104,0.579,4.0,0.054,88,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP,2024-06-06,0.0,5bBaoign62r1i7OV8w7mi9,1.0,9.0,186365.0,0.274,5N3hjp1WNayUPZrA8kJmJP,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.806,104.032,0.608,pop,-3.443,0.191,0.587,4.0,0.0486,79,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1f18HzFpegqvH4ibGJyeMJ,2024-11-14,0.0,2BdJwrx2wMJi7x06wWkUFg,1.0,1.0,181821.0,0.121,1f18HzFpegqvH4ibGJyeMJ,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,4.0,0.0273,86,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,2024-04-12,0.0,6egBeCLeGITzGSo5VyRjwZ,1.0,9.0,171292.0,0.0633,2FQrifJ1N335Ljm3TjTVVf,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.757,139.982,0.742,pop,-4.981,0.305,0.957,4.0,0.0421,88,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,2023-09-22,0.0,0EiI8ylL0FmWWpgHVTsZjZ,1.0,6.0,184841.0,0.0187,4xdBrk0nFZaP54vvZj0yx7,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.917,100.987,0.562,pop,-2.768,0.488,0.501,4.0,0.117,86,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/19KlZwqlT3fguP2BeHF1Q1,2024-10-25,0.0,52BWvTRMsPqjHzrbQomgwP,0.0,11.0,229997.0,0.0513,19KlZwqlT3fguP2BeHF1Q1,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.787,109.939,0.734,pop,-3.951,0.312,0.672,4.0,0.116,82,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5G345YEhvleYxQLfYUlEFv,2024-10-08,0.0,1OGxb1Z5KDBVOwDtyKu8wz,0.0,5.0,155757.0,0.126,5G345YEhvleYxQLfYUlEFv,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.843,122.064,0.619,pop,-5.348,0.164,0.746,4.0,0.0284,86,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/7hR22TOX3RorxJPcsz5Wbo,2024-10-18,0.000118,0TxewlKVKdpP18dGg279ep,0.0,5.0,204829.0,0.00948,7hR22TOX3RorxJPcsz5Wbo,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.406,115.94,0.53,pop,-7.507,0.133,0.338,3.0,0.033,90,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy,2024-06-21,0.0,56bdWeO40o3WfAD2Lja4dl,1.0,10.0,157147.0,0.656,51rfRCiUSvxXlCSCfIztBy,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.782,119.992,0.727,pop,-8.529,0.225,0.655,4.0,0.042,86,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1BJJbSX6muJVF2AK7uH1x4,2024-06-07,0.336,4M8ThNHbNjda2cPwL8XZHS,0.0,8.0,177599.0,0.0563,1BJJbSX6muJVF2AK7uH1x4,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.812,80.09,0.505,pop,-3.986,0.444,0.664,4.0,0.461,88,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R,2024-10-28,0.0,0U28P0QVB1QRxpqp5IHOlH,1.0,1.0,255916.0,0.285,3tFed7YsjGnIfxeLEQwx3R,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,103.969,0.701,pop,-5.478,0.185,0.69,4.0,0.0285,90,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,2024-04-12,6.54e-05,5quMTd5zeI9yW5UDua8wS4,1.0,0.0,175459.0,0.107,2qSkIjg1o9h3YT9RAgYN75,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,4.0,0.0432,89,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2CspwnypzT7rcWI9RfsoSb,2024-10-10,1.15e-05,3e5tDT1kfaAGx10yOjIDgW,0.0,10.0,136627.0,0.00434,2CspwnypzT7rcWI9RfsoSb,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.563,105.008,0.833,pop,-5.593,0.139,0.343,4.0,0.204,82,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0l0vcZMU7AOeQmUIREoI2U,2024-11-15,1.27e-05,0aX0UXrHG2ceYIxTQcqJdA,0.0,4.0,182857.0,0.528,0l0vcZMU7AOeQmUIREoI2U,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.628,119.98,0.757,pop,-6.715,0.221,0.321,4.0,0.101,85,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2c7z5oRcPBbqRaBY2mLWcf,2024-06-14,0.0209,0Kzb3u6kMnOJOZXYFSk33F,0.0,4.0,217333.0,0.189,2c7z5oRcPBbqRaBY2mLWcf,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.855,127.986,0.638,pop,-4.86,0.245,0.731,4.0,0.0264,84,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,2024-05-10,0.0,1woYXxyyxTQJ0E0AhZE6mj,1.0,7.0,178206.0,0.00757,7221xIgOnuakPdLqT0F3nP,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,117.038,0.741,pop,-5.505,0.0398,0.934,4.0,0.0412,77,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,2024-03-22,0.000809,1KZC0cX0qq6hodR9YVgh9F,1.0,10.0,251424.0,0.0295,4IadxL6BUymXlh8RCJJu7T,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.339,97.989,0.705,pop,-10.612,0.12,0.457,4.0,0.0278,84,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3siwsiaEoU4Kuuc9WKMUy5,2024-05-31,0.0814,03guxdOi12XJbnvxvxbpwG,1.0,7.0,236907.0,0.552,3siwsiaEoU4Kuuc9WKMUy5,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.651,112.648,0.694,pop,-6.968,0.0787,0.471,3.0,0.0784,93,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6,2024-09-26,1.36e-05,60cQzWfmdg4hyDXrpW6kOA,1.0,6.0,225881.0,0.496,1cOboCuWYI2osTOfolMRS6,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.601,123.994,0.635,pop,-6.129,0.11,0.332,4.0,0.0295,88,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,2024-05-10,0.0,3VNxRarx9HUI5w7DHv0TBj,0.0,1.0,172533.0,0.246,3Vr3zh0r7ALn8VLqCiRR10,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.691,167.029,0.836,pop,-4.222,0.282,0.703,4.0,0.363,70,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/4VI2Y5xg4gYynQqNQNQbTN,2024-10-10,0.0,2PzoiaGTcK3NfnMgHFd7QC,1.0,1.0,149461.0,0.00586,4VI2Y5xg4gYynQqNQNQbTN,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.646,115.842,0.645,pop,-8.334,0.074,0.295,4.0,0.0427,81,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/46kspZSY3aKmwQe7O77fCC,2024-03-08,3.04e-05,71PfP4E9roOXAudea1aPGw,1.0,5.0,228639.0,0.0615,46kspZSY3aKmwQe7O77fCC,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.471,105.029,0.472,pop,-5.692,0.14,0.219,3.0,0.0603,85,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,2024-01-18,0.0,29aSKB1qPEbN0Qf9OPSQpw,1.0,10.0,180304.0,0.151,6tNQ70jh4OwmPGpYy6R2o9,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,4.0,0.284,84,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73,2024-10-17,0.0,3pkIK8SI5mcUUjb9jNjx4H,0.0,6.0,130880.0,0.0501,0qeIFEGRQqHoaJtLCl0U73,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,4.0,0.0442,85,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6aJn7Cst74cj4lNIiPRgav,2024-07-26,1.03e-05,1hjqg3TuQ2YqooaPhxHwdv,0.0,5.0,129883.0,0.549,6aJn7Cst74cj4lNIiPRgav,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.604,159.92,0.561,pop,-4.409,0.104,0.242,3.0,0.0337,89,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,2023-09-15,1.9e-05,7nacKlk586eLRBSIsrk9DB,1.0,9.0,210689.0,0.199,17phhZDn6oGtzMe56NuWvj,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.668,90.969,0.646,pop,-5.203,0.212,0.64,4.0,0.0282,82,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5uQ7de4EWjb3rkcFxyEOpu,2024-02-16,0.0,3PlCMwyq6nuQYtoYproV1o,1.0,2.0,148318.0,0.491,5uQ7de4EWjb3rkcFxyEOpu,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.668,128.027,0.924,pop,-6.795,0.0678,0.787,4.0,0.0469,93,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,2024-06-21,0.000594,5ylbxH7EqpsmHZCRuiYewS,1.0,11.0,195824.0,0.446,6WatFBLVB0x077xWeoVc2k,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,4.0,0.0584,89,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,2022-09-16,0.00259,4JDXBZdRPId4devseaAOKH,1.0,2.0,159246.0,0.0351,3qhlB30KknSejmIvZZLjOD,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,4.0,0.0308,84,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,2024-04-18,1.53e-05,1Mo4aZ8pdj6L1jx8zSwJnt,1.0,11.0,228965.0,0.502,2OzhQlSqBEmt7hmkYxfT6m,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
